X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,avg,avg_med
139.5388235,1.931818182,NA,8.636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.284090909,5.284090909
161.6752941,18.40909091,NA,28.06818182,23.29545455,20.34090909,13.40909091,12.38636364,NA,NA,NA,NA,NA,19.31818182,19.375
183.3505882,24.31818182,5.568181818,34.54545455,45.34090909,35.79545455,11.93181818,17.84090909,20.22727273,17.95454545,9.886363636,11.59090909,NA,21.36363636,17.95454545
205.0258824,41.47727273,22.84090909,38.29545455,39.54545455,37.84090909,29.31818182,27.27272727,24.65909091,33.97727273,21.13636364,32.84090909,14.77272727,30.33143939,31.07954546
227.1623529,57.27272727,29.77272727,46.13636364,37.61363636,35.79545455,25,33.06818182,30.11363636,32.5,24.09090909,29.20454545,22.84090909,33.61742424,31.30681818
248.8376471,66.36363636,28.40909091,51.36363636,54.09090909,58.97727273,42.38636364,44.20454545,37.72727273,59.65909091,42.61363636,37.38636364,42.5,47.14015152,43.40909091
270.9741176,73.63636364,39.65909091,69.43181818,66.59090909,77.04545455,56.81818182,63.06818182,59.09090909,75.11363636,50.56818182,52.84090909,51.59090909,61.28787879,61.07954546
292.6494118,80.34090909,63.75,77.38636364,77.84090909,82.04545455,59.65909091,65.34090909,62.15909091,77.95454545,61.47727273,64.88636364,66.59090909,69.95265152,65.96590909
314.3247059,85.68181818,65.22727273,81.70454545,80.79545455,83.40909091,67.5,75.90909091,73.40909091,73.86363636,64.43181818,73.40909091,72.27272727,74.80113636,73.63636364
336,88.97727273,70.34090909,78.06818182,84.31818182,84.54545455,78.52272727,85.34090909,74.54545455,87.72727273,78.52272727,73.63636364,85.90909091,80.87121212,81.42045455
358.1364706,NA,81.02272727,91.13636364,86.02272727,88.52272727,80.68181818,91.02272727,85.11363636,82.61363636,85.22727273,91.25,94.31818182,86.99380165,86.02272727
379.8117647,92.95454545,80.11363636,90.11363636,81.13636364,92.04545455,89.43181818,92.27272727,87.84090909,89.77272727,89.77272727,92.95454545,93.75,89.34659091,89.94318182
401.4870588,100,90.56818182,96.47727273,88.29545455,94.09090909,96.47727273,100.1136364,87.5,94.09090909,95.34090909,93.18181818,95.45454545,94.29924242,94.71590909
423.1623529,NA,86.93181818,90.56818182,82.15909091,96.25,91.59090909,96.13636364,93.63636364,98.29545455,88.18181818,98.52272727,93.86363636,92.37603306,93.63636364
445.2988235,95.68181818,92.38636364,92.95454545,89.09090909,92.72727273,91.13636364,95.56818182,93.40909091,90.22727273,92.27272727,97.38636364,92.27272727,92.92613636,92.55681819
488.6494118,94.09090909,96.36363636,87.84090909,97.27272727,84.09090909,90.90909091,93.97727273,98.63636364,92.72727273,96.36363636,96.25,95.34090909,93.65530303,94.71590909
510.7858824,96.13636364,89.20454545,97.04545455,84.20454545,83.06818182,65,85.56818182,89.77272727,94.31818182,86.81818182,86.70454545,85.56818182,86.95075758,86.76136364
532.4611765,85,88.06818182,90.56818182,83.06818182,91.02272727,85.11363636,86.59090909,86.59090909,85.11363636,82.61363636,87.95454545,85.11363636,86.40151515,85.85227273
554.1364706,91.59090909,96.47727273,85.79545455,88.75,93.86363636,93.97727273,97.72727273,95.11363636,96.70454545,97.61363636,100,99.09090909,94.72537879,95.79545455
575.8117647,87.15909091,97.15909091,95.11363636,94.43181818,80.34090909,89.09090909,96.02272727,97.04545455,97.95454545,97.27272727,89.09090909,95,92.97348485,95.05681818
597.4870588,91.47727273,96.47727273,99.20454545,93.52272727,88.40909091,93.63636364,97.5,95.79545455,92.04545455,97.84090909,97.5,89.31818182,94.39393939,94.7159091
619.6235294,96.81818182,98.29545455,97.5,92.95454545,92.84090909,92.72727273,96.70454545,95.79545455,97.27272727,95,95.45454545,96.70454545,95.67234848,96.25
641.2988235,97.84090909,97.95454545,98.52272727,91.25,94.20454545,96.70454545,98.29545455,97.38636364,92.61363636,99.31818182,98.97727273,97.95454545,96.75189394,97.89772727
662.9741176,99.77272727,96.36363636,100.2272727,93.52272727,89.20454545,98.52272727,99.09090909,98.40909091,94.54545455,94.09090909,97.04545455,98.40909091,96.60037879,97.72727273
684.1882353,99.31818182,99.54545455,97.95454545,100.1136364,94.09090909,98.06818182,98.75,96.70454545,97.27272727,95.90909091,98.06818182,95.34090909,97.59469697,98.01136364
706.3247059,90.56818182,94.54545455,96.47727273,96.81818182,98.75,96.36363636,97.61363636,100.1136364,99.09090909,98.52272727,93.29545455,96.36363636,96.54356061,96.64772728
728.4611765,93.97727273,100.1136364,100.1136364,100.1136364,97.38636364,90,95.45454545,97.84090909,94.65909091,100.1136364,96.47727273,100.1136364,97.1969697,97.61363637
749.6752941,94.65909091,97.95454545,98.06818182,89.54545455,94.65909091,97.84090909,100,100,97.04545455,100,96.47727273,96.36363636,96.8844697,97.44318182
771.8117647,97.95454545,98.29545455,98.18181818,94.77272727,100,98.06818182,95.68181818,98.18181818,100.1136364,100,95.90909091,97.15909091,97.85984848,98.125
793.4870588,96.02272727,97.15909091,97.61363636,100.1136364,97.61363636,100,100,97.72727273,100.1136364,100.1136364,98.97727273,100,98.78787879,99.48863637
815.1623529,98.86363636,96.25,100.1136364,100.1136364,97.04545455,98.75,96.02272727,97.95454545,97.95454545,95.90909091,100.1136364,98.75,98.15340909,98.35227273
837.2988235,96.70454545,95.68181818,100.1136364,72.15909091,96.02272727,94.43181818,96.02272727,95.56818182,100.1136364,99.20454545,100.1136364,96.93181818,95.25568182,96.36363636
858.9741176,99.09090909,92.27272727,92.27272727,87.95454545,98.75,87.84090909,100.1136364,95.68181818,87.95454545,97.84090909,100,96.70454545,94.70643939,96.19318182
880.6494118,94.54545455,97.27272727,97.95454545,97.5,96.70454545,98.18181818,96.13636364,93.97727273,87.72727273,95.79545455,100.1136364,97.27272727,96.09848485,96.98863636
902.3247059,93.06818182,89.88636364,100.1136364,90.68181818,90.22727273,94.88636364,96.13636364,90.56818182,87.95454545,94.20454545,100.1136364,94.77272727,93.55113636,93.63636364
924,93.29545455,97.27272727,97.5,95.56818182,87.15909091,96.25,91.59090909,98.97727273,81.59090909,94.43181818,98.97727273,93.29545455,93.82575758,95